"Month";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
Jan;101.36;101.74;101.00;101.25;100.69;99.80;100.00
Feb;101.96;102.09;101.37;101.32;100.55;99.95;100.42
Mar;100.75;102.17;100.16;99.81;99.56;100.15;100.57
Apr;100.14;103.32;100.05;100.02;100.08;100.14;100.33
May;100.27;102.21;100.18;99.94;100.20;100.16;100.54
Jun;100.22;101.09;99.74;100.05;100.30;100.35;100.46
Jul;100.06;101.17;99.71;100.27;100.23;100.13;100.13
Aug;100.23;100.93;100.63;100.83;100.22;99.93;100.10
Sep;101.31;100.82;102.20;101.06;100.40;99.79;100.54
Oct;101.05;100.36;100.85;100.49;100.11;100.11;100.83
Nov;101.86;100.39;100.47;100.34;99.73;100.07;100.48
Dec;101.98;100.53;100.27;100.51;99.76;100.02;100.23

