date,price
Jan 2010,101.36
Feb 2010,101.96
Mar 2010,100.75
Apr 2010,100.14
May 2010,100.27
Jun 2010,100.22
Jul 2010,100.06
Aug 2010,100.23
Sep 2010,101.31
Oct 2010,101.05
Nov 2010,101.86
Dec 2010,101.98
Jan 2011,101.74
Feb 2011,102.09
Mar 2011,102.17
Apr 2011,103.32
May 2011,102.21
Jun 2011,101.09
Jul 2011,101.17
Aug 2011,100.93
Sep 2011,100.82
Oct 2011,100.36
Nov 2011,100.39
Dec 2011,100.53
Jan 2012,101.00
Feb 2012,101.37
Mar 2012,100.16
Apr 2012,100.05
May 2012,100.18
Jun 2012,99.74
Jul 2012,99.71
Aug 2012,100.63
Sep 2012,102.20
Oct 2012,100.85
Nov 2012,100.47
Dec 2012,100.27
Jan 2013,101.25
Feb 2013,101.32
Mar 2013,99.81
Apr 2013,100.02
May 2013,99.94
Jun 2013,100.05
Jul 2013,100.27
Aug 2013,100.83
Sep 2013,101.06
Oct 2013,100.49
Nov 2013,100.34
Dec 2013,100.51
Jan 2014,100.69
Feb 2014,100.55
Mar 2014,99.56
Apr 2014,100.08
May 2014,100.20
Jun 2014,100.30
Jul 2014,100.23
Aug 2014,100.22
Sep 2014,100.40
Oct 2014,100.11
Nov 2014,99.73
Dec 2014,99.76
Jan 2015,99.80
Feb 2015,99.95
Mar 2015,100.15
Apr 2015,100.14
May 2015,100.16
Jun 2015,100.35
Jul 2015,100.13
Aug 2015,99.93
Sep 2015,99.79
Oct 2015,100.11
Nov 2015,100.07
Dec 2015,100.02
Jan 2016,100.00
Feb 2016,100.42
Mar 2016,100.57
Apr 2016,100.33
May 2016,100.54
Jun 2016,100.46
Jul 2016,100.13
Aug 2016,100.10
Sep 2016,100.54
Oct 2016,100.83
Nov 2016,100.48
Dec 2016,100.23
