Reporter,Reporter_ISO,Partner_Code,Partner,Partner_ISO,Commodity_Code,Commodity,Trade_Value
Canada,CAN,704,Viet Nam,VNM,101,"Live horses, asses, mules and hinnies",72
Singapore,SGP,704,Viet Nam,VNM,101,"Live horses, asses, mules and hinnies",206018
Australia,AUS,704,Viet Nam,VNM,102,Live bovine animals,215507722
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,102,Live bovine animals,41239294
South Africa,ZAF,704,Viet Nam,VNM,102,Live bovine animals,41890
Thailand,THA,704,Viet Nam,VNM,102,Live bovine animals,787280
USA,USA,704,Viet Nam,VNM,102,Live bovine animals,33042
Canada,CAN,704,Viet Nam,VNM,103,Live swine,922872
Denmark,DNK,704,Viet Nam,VNM,103,Live swine,10188638
France,FRA,704,Viet Nam,VNM,103,Live swine,431547
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,103,Live swine,173500
"Other Asia, nes",,704,Viet Nam,VNM,103,Live swine,713970
USA,USA,704,Viet Nam,VNM,103,Live swine,1178788
Australia,AUS,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",8827505
Belgium,BEL,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",223912
Brazil,BRA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",69792
Dominican Rep.,DOM,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",53429
France,FRA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",62762
Japan,JPN,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",141943
Kazakhstan,KAZ,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",168
Madagascar,MDG,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1461314
Netherlands,NLD,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1
New Zealand,NZL,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1029670
Paraguay,PRY,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",283451
