testmonth,market,project,projectname,mva,r,latitude,longitude,time
May-13,KENYA,748,KPLC,23,1,-0.023559,37.906193,2013 - 05
May-13,KENYA,749,KPLC,23,1,-0.023559,37.906193,2013 - 05
May-13,NEW ZEALAND,824,Orion,23,1,-40.900557,174.885971,2013 - 05
May-13,SINGAPORE,846,BMCC Stage 2,25,1,1.352083,103.819836,2013 - 05
May-13,SINGAPORE,847,BMCC Stage 2,39,1,1.352083,103.819836,2013 - 05
May-13,NEW ZEALAND,848,Ok Tedi Minning,55,2,-40.900557,174.885971,2013 - 05
May-13,NEW ZEALAND,849,Ok Tedi Minning,55,2,-40.900557,174.885971,2013 - 05
May-13,NEW ZEALAND,850,Ok Tedi Minning,75,3,-40.900557,174.885971,2013 - 05
May-13,NEW ZEALAND,851,Ok Tedi Minning,75,3,-40.900557,174.885971,2013 - 05
May-13,PHILIPPINES,862,Apex Mining,5,1,12.879721,121.774017,2013 - 05
May-13,PHILIPPINES,863,Apex Mining,5,1,12.879721,121.774017,2013 - 05
Jun-13,KENYA,750,KPLC,23,1,-0.023559,37.906193,2013 - 06
Jun-13,KENYA,751,KPLC,23,1,-0.023559,37.906193,2013 - 06
Jun-13,NEW ZEALAND,831,Horizon Energy,16,1,-40.900557,174.885971,2013 - 06
Jun-13,PHILIPPINES,865,Blue chip Builder,12.5,1,12.879721,121.774017,2013 - 06
Jun-13,MALAYSIA,866,SCG INDUSTRIES,13,1,4.210484,101.975766,2013 - 06
Jun-13,MALAYSIA,867,SCG INDUSTRIES,13,1,4.210484,101.975766,2013 - 06
Jun-13,SINGAPORE,868,Timor Leste Expsnsion project ,10,1,1.352083,103.819836,2013 - 06
Jun-13,SINGAPORE,869,Timor Leste Expsnsion project ,20,1,1.352083,103.819836,2013 - 06
Jun-13,SINGAPORE,870,Timor Leste Expsnsion project ,32,1,1.352083,103.819836,2013 - 06
Jun-13,AUSTRALIA,871,Wickham Zone3/ABB PS,12.5,1,-25.274398,133.775136,2013 - 06
Jun-13,TAIWAN,872,USI corporation Kaoshiung plant,18.75,1,23.69781,120.960515,2013 - 06
Jun-13,PHILIPPINES,877,Nestle Project,20,1,12.879721,121.774017,2013 - 06
Jun-13,South Africa,878,Mopani Repeat,30,1,-30.559482,22.937506,2013 - 06
