time,Total,Accumulated
2013 - 05,11,11
2013 - 06,18,29
2013 - 07,9,38
2013 - 08,9,47
2013 - 09,13,60
2013 - 10,16,76
2013 - 11,10,86
2013 - 12,20,106
2014 - 01,7,113
2014 - 02,5,118
2014 - 03,15,133
2014 - 04,13,146
2014 - 05,11,157
2014 - 06,13,170
2014 - 07,9,179
2014 - 08,10,189
2014 - 09,7,196
2014 - 10,11,207
2014 - 11,9,216
2014 - 12,15,231
2015 - 01,5,236
2015 - 02,8,244
2015 - 03,11,255
2015 - 04,7,262
2015 - 05,12,274
2015 - 06,10,284
2015 - 07,6,290
2015 - 08,9,299
2015 - 09,8,307
2015 - 10,8,315
2015 - 11,6,321
2015 - 12,12,333
2016 - 01,8,341
2016 - 02,6,347
2016 - 03,9,356
2016 - 04,12,368
2016 - 05,11,379
2016 - 06,12,391
2016 - 07,12,403
2016 - 08,12,415
2016 - 09,13,428
2016 - 10,13,441
2016 - 11,11,452
2016 - 12,9,461
2017 - 01,8,469
2017 - 02,11,480
2017 - 03,10,490
2017 - 04,10,500
2017 - 05,11,511
2017 - 06,11,522
2017 - 07,10,532
2017 - 08,14,546
2017 - 09,9,555
2017 - 10,4,559
